State,Title,Author,Year_Banned,Theme,Reason,Latitude,Longitude
Boston,"""Memoirs of a Woman of Pleasure""",John Cleland,1821,"female desire, sexual agency","obscene, indecent, and impure",42.360081,-71.058884
Pennsylvania,"""The Sorrows of Young Werther""",Johann Wolfgang von Goethe,mid-1800s,mental health struggle,"copycat suicides,  encouraging emotional excess and suicide",41.203323,-77.194527
New York,"""The Sorrows of Young Werther""",Johann Wolfgang von Goethe,mid-1800s,mental health struggle,"copycat suicides,  encouraging emotional excess and suicide",40.712776,-74.005974
Pennsylvania," ""The Age of Reason""",Thomas Paine,1794,religious Skepticism,"copycat suicides, encouraging rebellion against authority and promoting individualism",41.203323,-77.194527
Virginia," ""The Age of Reason""",Thomas Paine,1794,religious Skepticism,"copycat suicides, encouraging rebellion against authority and promoting individualism",37.431572,-78.656891
Oklahoma,"""Narrative of the Life of Frederick Douglass""",Frederick Douglass,mid-1800s & July 2021 and March 2022,"slavery, resistance, Christianity","Critical Race Theory concerns, racial issues, emphasis on inclusion, , Christianity, corruption of power, critical race theory,” forbidden under recent state Law 1775.",35.007751,-97.092880
South Carolina," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.759575,-79.019302
West Virginia," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",38.597626,-80.454903
Virginia," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",37.431572,-78.656891
North Carolina," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.759575,-79.019302
Alabama," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",32.576229,-86.680740
Arkansas," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.201050,-91.831833
Delaware," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",38.910831,-75.527672
Florida," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",27.664827,-81.515755
Georgia," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",32.165623,-82.900078
Kentucky," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",37.839333,-84.270020
Lousiana," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",30.984299,-91.962334
Maryland," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",39.045753,-76.641273
Mississippi," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",32.354668,-89.398529
Oklahoma," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.007751,-97.092880
Tennesse," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.517490,-86.580444
Texas," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",31.968599,-99.901810
"Washington, D.C."," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",38.907192,-77.036873
South Carolina  (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,35.759575,-79.019302
Mississippi (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,32.354668,-89.398529
Florida (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,27.664827,-81.515755
Alabama (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,32.576229,-86.680740
Georgia (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,32.165623,-82.900078
Louisiana (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,30.984299,-91.962334
Texas (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,31.968599,-99.901810
Virginia (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,37.431572,-78.656891
Arkansas (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,35.201050,-91.831833
Tennesse (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,35.517490,-86.580444
North Carolina (as Confederate States of America)," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1861,"destructive nature of slavery, empowerment women, religion",During the Civil War because of its anti-slavery content.,35.759575,-79.019302
New York (banned by the city post office),"""Leaves of Grass""",Walt Whitman,1855,"nature and spirituality, american identity","sexual imagery, challenges to social norm, vulgarity, homoerotic undertones.",40.712776,-74.005974
South Carolina,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",35.759575,-79.019302
West Virginia,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",38.597626,-80.454903
Virginia,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",37.431572,-78.656891
North Carolina,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",35.759575,-79.019302
Alabama,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",32.576229,-86.680740
Arkansas,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",35.201050,-91.831833
Delaware,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",38.910831,-75.527672
Florida,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",27.664827,-81.515755
Georgia,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",32.165623,-82.900078
Kentucky,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",37.839333,-84.270020
Lousiana,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",30.984299,-91.962334
Maryland,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",39.045753,-76.641273
Mississippi,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",32.354668,-89.398529
Oklahoma,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",35.007751,-97.092880
Tennesse,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",35.517490,-86.580444
Texas,"""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",31.968599,-99.901810
"Washington, D.C.","""Incidents in the Life of a Slave Girl""",Harriet Jacobs,1861,sexual abuse of enslaved women,"anti-slavery message, challenging social norms",38.907192,-77.036873
Massachussets,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,41.158401,-80.718559
Connecticut,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,41.603222,-73.087746
New Hampshire,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,43.193851,-71.572395
Maine,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,45.253784,-69.445473
Rhode island,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,41.580093,-71.477432
Vermont,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,44.558804,-72.577843
New York,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,40.712776,-74.005974
Pennsylvania,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,41.203323,-77.194527
New Jersey,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,40.058323,-74.405663
Illinois,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,40.633125,-89.398529
Ohio,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,40.417286,-82.907120
Michigan,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,44.314842,-85.602364
Indiana,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,40.267193,-86.134903
Wisconsin,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,43.784439,-88.787865
Missouri,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,37.964252,-91.831833
Minnesota,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,46.729553,-94.685898
Iowa,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,41.878002,-93.097702
Kansas,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,39.011902,-98.484245
Nebraska,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,41.492538,-99.901810
South Dakota,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,43.969517,-99.901810
North Dakota,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,47.551495,-101.002014
Florida,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,27.664827,-81.515755
Georgia,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,32.165623,-82.900078
North Carolina,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,35.759575,-79.019302
Virginia,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,37.431572,-78.656891
Maryland,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,39.045753,-76.641273
South Carolina,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,39.045753,-76.641273
West Virginia,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,38.597626,-80.454903
Delaware,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,38.910831,-75.527672
Columbia district,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,38.904781,"
-77.016289"
Tennesse,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,35.517490,-86.580444
Alabama,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,32.576229,-86.680740
Kentucky,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,37.839333,-84.270020
Mississippi,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,32.354668,-89.398529
Texas,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,31.968599,-99.901810
Louisiana ,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,30.984299,-91.962334
Oklahoma,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,35.007751,-97.092880
Arkansas,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,35.201050,-91.831833
Arizona,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,34.048927,-111.093735
Colorado,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,39.550053,-105.782066
Utah,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,39.320980,-111.093735
Nevada,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,38.802608,-116.419388
New Mexico,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,34.519939,-105.870087
Idaho,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,44.068203,-114.742043
Montana,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,46.879681,-110.362564
Wyoming,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,43.075970,-107.290283
California,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,36.778259,-119.417931
"Washington, D.C.","""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,38.907192,-77.036873
Oregon,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,43.804134,-120.554199
Hawaii,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,19.896767,-155.582779
Alaska,"""The Kama Sutra - English translation""",Sir Richard Francis Burton,1883-1962,sexuality and pleasure,overwhelming obscenity and sexually based desire for torture,64.200844,-149.493668
Hannibal,"""The Adventures of Huckleberry Finn""",Mark Twain,1885,"racism and slavery, religion",racial slurs,39.705002,-91.385391
Missouri,"""The Adventures of Huckleberry Finn""",Mark Twain,1885,"racism and slavery, religion",racial slurs,37.964252,-91.831833
Massachusetts,"""The Adventures of Huckleberry Finn""",Mark Twain,1885,"racism and slavery, religion",racial slurs,41.158401,-80.718559
Boston (Concord Public Library),"""The Adventures of Huckleberry Finn""",Mark Twain,1885,"racism and slavery, religion",racial slurs,42.360081,-71.058884
Boston,"""The Picture of Dorian Gray""",Oscar Wilde,1890,"morality and corruption, hedionisim ","sexual contents, moral concerns, The Criminal Law Amendment Act of 1885 had made ""gross indecency"" : heightening sensitivity to homosexual content",42.360081,-71.058884
South Carolina,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",35.759575,-79.019302
West Virginia,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",38.597626,-80.454903
Virginia,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",37.431572,-78.656891
North Carolina,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",35.759575,-79.019302
Alabama,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",32.576229,-86.680740
Arkansas,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",35.201050,-91.831833
Delaware,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",38.910831,-75.527672
Florida,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",27.664827,-81.515755
Georgia,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",32.165623,-82.900078
Kentucky,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",37.839333,-84.270020
Lousiana,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",30.984299,-91.962334
Maryland,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",39.045753,-76.641273
Mississippi,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",32.354668,-89.398529
Oklahoma,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",35.007751,-97.092880
Tennesse,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",35.517490,-86.580444
Texas,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",31.968599,-99.901810
"Washington, D.C.","""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",38.907192,-77.036873
Nebraska,"""Jude the Obscure""",Thomas Hardy,1895,"social criticism -class structures-, women in society, religion","blasphemy and Indecency (religion, marriage, and sexuality), The portrayal of loveless marriages, issues surrounding suicide, and the depiction of illegitimate children",41.492538,-99.901810
